name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Baxter Thomas Tennant,M,1894–1947,1894,1947,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-tennant-baxter-2413
Bayer Herbert,M,1900–1985,1900,1985,"Haag am Hausruck, Österreich","Santa Barbara, United States",http://www.tate.org.uk/art/artists/herbert-bayer-711
Bayes Gilbert,M,1872–1953,1872,1953,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/gilbert-bayes-712
Bayes Walter,M,1869–1956,1869,1956,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/walter-bayes-713
Baynard Ed,M,born 1940,1940,1963,"Washington, United States",Unknown,http://www.tate.org.uk/art/artists/ed-baynard-6275
Baziotes William,M,1912–1963,1912,1963,"Pittsburgh, United States","New York, United States",http://www.tate.org.uk/art/artists/william-baziotes-714
Beach Thomas,M,1738–1806,1738,1806,"Dorset, United Kingdom",Dorchester,http://www.tate.org.uk/art/artists/thomas-beach-27
Beale Mary,F,1633–1699,1633,1699,"Barrow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/mary-beale-2306
Beament Tib,M,born 1941,1941,1898,Canada,Unknown,http://www.tate.org.uk/art/artists/tib-beament-715
Beard John,M,born 1943,1943,1898,"Aberdare, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-beard-2705
Beardsley Aubrey,M,1872–1898,1872,1898,"Brighton, United Kingdom","Menton, France",http://www.tate.org.uk/art/artists/aubrey-beardsley-716
Beare George,M,active 1743–1749,1743,1749,"London, United Kingdom","Andover, United Kingdom",http://www.tate.org.uk/art/artists/george-beare-28
Beattie Basil,M,born 1935,1935,1827,"Hartlepool, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/basil-beattie-717
Beaumont Sir George Howland Bt,M,1753–1827,1753,1827,"Great Dunmow, United Kingdom","Leicestershire, United Kingdom",http://www.tate.org.uk/art/artists/sir-george-howland-beaumont-bt-29
Beban Breda,F,1952–2012,1952,2012,"Novi Sad, Jugoslavija",Unknown,http://www.tate.org.uk/art/artists/breda-beban-10983
Becher Prof. Bernd,M,"1931–2007, born 1934",1931,1825,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bernd-becher-and-hilla-becher-718
Becker Ferdinand,M,active 1793–1825,1793,1825,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ferdinand-becker-2557
Becker Harald,M,born 1940,1940,1950,Deutschland,Unknown,http://www.tate.org.uk/art/artists/harald-becker-719
Beckley Bill,M,born 1946,1946,1950,"Hamburg, United States",Unknown,http://www.tate.org.uk/art/artists/bill-beckley-6303
Beckmann Max,M,1884–1950,1884,1950,"Leipzig, Deutschland","New York, United States",http://www.tate.org.uk/art/artists/max-beckmann-720
Bedia Jose,M,born 1959,1959,1839,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jose-bedia-9118
Beechey Sir William,M,1753–1839,1753,1839,"Burford, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-beechey-30
Beer Richard,M,born 1928,1928,1956,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-beer-721
Beerbohm Sir Max,M,1872–1956,1872,1956,"London, United Kingdom","Rapallo, Italia",http://www.tate.org.uk/art/artists/sir-max-beerbohm-722
Beeton Alan,M,1880–1942,1880,1942,"Hampstead, United Kingdom","Reading, United Kingdom",http://www.tate.org.uk/art/artists/alan-beeton-723
Beggs Guy,M,born 1947,1947,1864,"Durban, South Africa",Unknown,http://www.tate.org.uk/art/artists/guy-beggs-724
Behnes William,M,1795–1864,1795,1864,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-behnes-31
Belcher George,M,1875–1947,1875,1947,"Greater London, United Kingdom","Chiddingfold, United Kingdom",http://www.tate.org.uk/art/artists/george-belcher-725
Belhaj-Kacem Mehdi,M,born 1973,1973,1943,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/mehdi-belhaj-kacem-11822
Bell Graham,M,1910–1943,1910,1943,South Africa,Unknown,http://www.tate.org.uk/art/artists/graham-bell-726
Bell John Zephaniah,M,1794–1883,1794,1883,"Dundee, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-zephaniah-bell-32
Bell Larry,M,born 1939,1939,1950,"Chicago, United States",Unknown,http://www.tate.org.uk/art/artists/larry-bell-727
Bell Laura Anning,F,1867–1950,1867,1950,France,"London, United Kingdom",http://www.tate.org.uk/art/artists/laura-anning-bell-728
Bell Robert Anning,M,1863–1933,1863,1933,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-anning-bell-729
Bell Trevor,M,born 1930,1930,1961,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/trevor-bell-730
Bell Vanessa,F,1879–1961,1879,1961,"Kensington, United Kingdom","West Sussex, United Kingdom",http://www.tate.org.uk/art/artists/vanessa-bell-731
Bellany John,M,1942–2013,1942,2013,"Port Seton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-bellany-732
Bellegarde Claude,M,born 1927,1927,1988,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/claude-bellegarde-733
Bellingham-Smith Elinor,F,1906–1988,1906,1988,"London, United Kingdom","Ipswich, United Kingdom",http://www.tate.org.uk/art/artists/elinor-bellingham-smith-735
Bellmer Hans,M,1902–1975,1902,1975,"Katowice, Polska","Paris, France",http://www.tate.org.uk/art/artists/hans-bellmer-736
Belloguet A.,M,19th century,1800,1899,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/a-belloguet-2618
Benazech Peter Paul,M,c.1744–c.1783,1744,1783,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-paul-benazech-2549
Bendix Skyum Larsen Nikolaj,M,born 1971,1971,2002,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/nikolaj-bendix-skyum-larsen-18264
Benglis Lynda,F,born 1941,1941,2002,"Louisiana, United States",Unknown,http://www.tate.org.uk/art/artists/lynda-benglis-7290
Benjamin Anthony,M,1931–2002,1931,2002,"Hampshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/anthony-benjamin-737
Bennett William,M,1811–1871,1811,1871,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-bennett-33
Benois Alexander,M,1870–1960,1870,1960,"Sankt-Peterburg, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/alexander-benois-738
Benois Nadia,F,1896–1975,1896,1975,"Sankt-Peterburg, Rossiya","Gloucestershire, United Kingdom",http://www.tate.org.uk/art/artists/nadia-benois-739
Benrath Frédéric,M,born 1930,1930,1929,"Chatou, France",Unknown,http://www.tate.org.uk/art/artists/frederic-benrath-2240
Benson Abraham Harris,M,1878–1929,1878,1929,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/abraham-harris-benson-740
Béraud Jean,M,1849–1935,1849,1935,"Sankt-Peterburg, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/jean-beraud-741
Berber Mersad,M,born 1940,1940,2011,"Bosanski Petrovac, Bosna i Hercegovina",Unknown,http://www.tate.org.uk/art/artists/mersad-berber-742
Berg Adrian,M,1929–2011,1929,2011,"London, United Kingdom","Brighton, United Kingdom",http://www.tate.org.uk/art/artists/adrian-berg-743
Bergvall Caroline,M,born 1962,1962,1972,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/caroline-bergvall-18242
Berman Eugène,M,1899–1972,1899,1972,"Sankt-Peterburg, Rossiya","Roma, Italia",http://www.tate.org.uk/art/artists/eugene-berman-744
Bernik Janez,M,born 1933,1933,1570,Slovenija,Unknown,http://www.tate.org.uk/art/artists/janez-bernik-745
Berry John CBE,M,born 1925,1925,1570,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-berry-746
Berthot Jake,M,born 1939,1939,1570,"Niagara Falls, United States",Unknown,http://www.tate.org.uk/art/artists/jake-berthot-2234
Bettes John,M,active 1531–1570,1531,1570,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-bettes-34
Beuys Joseph,M,1921–1986,1921,1986,"Krefeld, Deutschland","Düsseldorf, Deutschland",http://www.tate.org.uk/art/artists/joseph-beuys-747
Bevan Robert,M,1865–1925,1865,1925,"Hove, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-bevan-748
Bevan Tony,M,born 1951,1951,1828,"Bradford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/tony-bevan-2371
Bewick Thomas,M,1753–1828,1753,1828,"England, United Kingdom",Gateshead,http://www.tate.org.uk/art/artists/thomas-bewick-35
Bhimji Zarina,F,born 1963,1963,1996,"Mbarara, Uganda",Unknown,http://www.tate.org.uk/art/artists/zarina-bhimji-5469
Bicât André,M,1909–1996,1909,1996,"Essex, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/andre-bicat-749
Bickerton Ashley,M,born 1959,1959,2004,Barbados,Unknown,http://www.tate.org.uk/art/artists/ashley-bickerton-2296
Biederman Charles,M,1906– 2004,1906,2004,"Cleveland, United States",Unknown,http://www.tate.org.uk/art/artists/charles-biederman-750
Biermann Aenne,F,1893–1933,1893,1933,"Goch, Deutschland","Gera, Deutschland",http://www.tate.org.uk/art/artists/aenne-biermann-15999
Bigge John,M,1892–1973,1892,1973,"Oxford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-bigge-sir-john-amherst-selby-bigge-bt-1658
Bill Simon,M,born 1958,1958,1976,"Kingston-upon-Thames, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/simon-bill-12110
Billingham Richard,M,born 1970,1970,1976,"Birmingham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-billingham-2749
Binning Bertram,M,1909–1976,1909,1976,"Alberta, Canada","West Vancouver, Canada",http://www.tate.org.uk/art/artists/bertram-binning-751
Bionda Mario,M,1913–1985,1913,1985,"Torino, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/mario-bionda-752
Birch Samuel John Lamorna,M,1869–1955,1869,1955,Egremont,"England, United Kingdom",http://www.tate.org.uk/art/artists/samuel-john-lamorna-birch-753
Bird Edward,M,1762–1819,1762,1819,"Wolverhampton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-bird-36
Bird John,M,born 1945,1945,1939,"Doncaster, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-bird-754
Birdhead (Ji Weiyu born 1980; Song Tao born 1979),M,established 2004,2004,1939,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/birdhead-ji-weiyu-born-1980-song-tao-born-1979-16782
Bishop Henry,M,1868–1939,1868,1939,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-bishop-755
Bissier Julius,M,1893–1965,1893,1965,"Freiburg im Breisgau, Deutschland","Ascona, Schweiz",http://www.tate.org.uk/art/artists/julius-bissier-756
Bissière Roger,M,1886–1964,1886,1964,"Lot-et-Garonne, France","Lot, France",http://www.tate.org.uk/art/artists/roger-bissiere-757
Bissill George,M,1896–1973,1896,1973,"Fairford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-bissill-758
Bjørlo Per Inge,M,born 1952,1952,1998,"Ålesund, Norge",Unknown,http://www.tate.org.uk/art/artists/per-inge-bjrlo-6500
Black Audio Film Collective (John Akomfrah; Reece Auguis; Edward George; Lina Gopaul; Avril Johnson; David Lawson; Trevo,M,1982–98 born 1958; born 1958; born1963; born 1959; born 1958; born 1962; born 1960,1958,1998,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/black-audio-film-collective-john-akomfrah-reece-auguis-edward-george-lina-gopaul-avril-9260
Black Karla,F,born 1972,1972,1830,"Alexandria, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/karla-black-11563
Blackadder Elizabeth,F,born 1931,1931,1830,"Falkirk, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/elizabeth-blackadder-760
Blacker Kate,F,born 1955,1955,1830,"Petersfield, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/kate-blacker-761
Blais Jean-Charles,M,born 1956,1956,1830,"Nantes, France",Unknown,http://www.tate.org.uk/art/artists/jean-charles-blais-2245
Blake Benjamin,M,c.1790–c.1830,1790,1830,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/benjamin-blake-37
Blake John,M,born 1945,1945,1787,"Rhode Island, United States",Unknown,http://www.tate.org.uk/art/artists/john-blake-762
Blake Peter,M,born 1932,1932,1787,"Dartford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-blake-763
Blake Robert,M,1762–1787,1762,1787,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-blake-38
Blake William,M,1757–1827,1757,1827,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-blake-39
Blamey Norman,M,1914–2000,1914,2000,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-blamey-764
Blanche Jacques-Emile,M,1861–1942,1861,1942,Auteuil,"Paris, France",http://www.tate.org.uk/art/artists/jacques-emile-blanche-765
Bland Beatrice,F,1864–1951,1864,1951,"Lincolnshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/beatrice-bland-766
Blaymires Charles Henry,M,1908–c.1970s,1908,1970,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-henry-blaymires-767
Bleckner Ross,M,born 1949,1949,1984,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/ross-bleckner-2759
Blees Luxemburg Rut,F,born 1967,1967,1984,Deutschland,Unknown,http://www.tate.org.uk/art/artists/rut-blees-luxemburg-3652
Bliss Douglas Percy,M,1900–1984,1900,1984,"Karachi, Pakistan",Unknown,http://www.tate.org.uk/art/artists/douglas-percy-bliss-768
Bloch Martin,M,1883–1954,1883,1954,Schlesien,"London, United Kingdom",http://www.tate.org.uk/art/artists/martin-bloch-769
Blom Ansuya,F,born 1956,1956,1879,"Groningen, Nederland",Unknown,http://www.tate.org.uk/art/artists/ansuya-blom-13711
Blore Edward,M,1789–1879,1789,1879,"Stamford, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-blore-2229
Blow Sandra,F,1925–2006,1925,2006,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sandra-blow-770
Bo Hou,F,born 1924,1924,1916,Zhonghua,Unknown,http://www.tate.org.uk/art/artists/hou-bo-13048
Boccioni Umberto,M,1882–1916,1882,1916,"Reggio di Calabria, Italia","Veneto, Italia",http://www.tate.org.uk/art/artists/umberto-boccioni-771
Bochner Mel,M,born 1940,1940,1904,"Pittsburgh, United States",Unknown,http://www.tate.org.uk/art/artists/mel-bochner-772
Bock Théophile de,M,1851–1904,1851,1904,"s Gravenhage, Nederland","Haarlem, Nederland",http://www.tate.org.uk/art/artists/theophile-de-bock-773
Boden Neville,M,1929–1996,1929,1996,South Africa,Unknown,http://www.tate.org.uk/art/artists/neville-boden-774
Boehm Sir Joseph Edgar,M,1834–1890,1834,1890,"Wien, Österreich","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-joseph-edgar-boehm-40
Boetti Alighiero,M,1940–1994,1940,1994,"Torino, Italia",Unknown,http://www.tate.org.uk/art/artists/alighiero-e-boetti-7713
Bohm Dorothy,F,born 1924,1924,1760,"Königsberg in Bayern, Deutschland",Unknown,http://www.tate.org.uk/art/artists/dorothy-bohm-9822
Boisvert Gilles,M,born 1940,1940,1760,"Québec, Canada",Unknown,http://www.tate.org.uk/art/artists/gilles-boisvert-775
Boitard Louis Philippe,M,active 1734–1760,1734,1760,France,Unknown,http://www.tate.org.uk/art/artists/louis-philippe-boitard-2740
Boltanski Christian,M,born 1944,1944,2013,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/christian-boltanski-2305
Bolus Michael,M,1934–2013,1934,2013,South Africa,Unknown,http://www.tate.org.uk/art/artists/michael-bolus-776
Bomberg David,M,1890–1957,1890,1957,"Birmingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/david-bomberg-777
Bond Henry,M,born 1966,1966,1953,"Great Britain, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/henry-bond-2586
Bone Sir Muirhead,M,1876–1953,1876,1953,"London, United Kingdom","Oxford, United Kingdom",http://www.tate.org.uk/art/artists/sir-muirhead-bone-778
Bone Stephen,M,1904–1958,1904,1958,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/stephen-bone-779
Bonechi Lorenzo,M,born 1955,1955,1994,"Figline Valdarno, Italia",Unknown,http://www.tate.org.uk/art/artists/lorenzo-bonechi-780
Bonington Richard Parkes,M,1802–1828,1802,1828,"Arnold, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/richard-parkes-bonington-41
Bonnard Pierre,M,1867–1947,1867,1947,"Fontenay-aux-Roses, France","Cannet, le, France",http://www.tate.org.uk/art/artists/pierre-bonnard-781
Bontecou Lee,F,born 1931,1931,1976,"Providence, United States",Unknown,http://www.tate.org.uk/art/artists/lee-bontecou-782
Borland Christine,F,born 1965,1965,1976,"Darvel, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/christine-borland-2702
Bornfriend Jacob,M,1904–1976,1904,1976,Ceská Republika,Unknown,http://www.tate.org.uk/art/artists/jacob-bornfriend-783
Borofsky Jonathan,M,born 1942,1942,1687,"Boston, United States",Unknown,http://www.tate.org.uk/art/artists/jonathan-borofsky-784
Borseller Peter,M,active 1644–1687,1644,1687,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-borseller-42
Boshier Derek,M,born 1937,1937,1971,"Portsmouth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/derek-boshier-785
Bosman Richard,M,born 1944,1944,1971,"Madras, Bharat",Unknown,http://www.tate.org.uk/art/artists/richard-bosman-786
Boswell James,M,1906–1971,1906,1971,"Westport, New Zealand",Unknown,http://www.tate.org.uk/art/artists/james-boswell-787
Boty Pauline,F,1938–1966,1938,1966,"Surrey, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/pauline-boty-2684
Bough Samuel,M,1822–1878,1822,1878,"Carlisle, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/samuel-bough-43
Boughton George Henry,M,1833–1905,1833,1905,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-henry-boughton-44
Boumans Bart,M,born 1940,1940,1929,"Deventer, Nederland",Unknown,http://www.tate.org.uk/art/artists/bart-boumans-788
Bourdelle Antoine,M,1861–1929,1861,1929,France,Unknown,http://www.tate.org.uk/art/artists/antoine-bourdelle-789
Bourgeois Louise,F,1911–2010,1911,2010,"Paris, France","New York, United States",http://www.tate.org.uk/art/artists/louise-bourgeois-2351
